max,min,保守型,リサーチ主導型,積極型,感情主導型,テクニカル
新規性,誠実性,0,0.5,0.5,0.5,0.5
新規性,外交性,0,1,0.5,0,1
新規性,協調性,0,0.5,0.5,0,0.5
新規性,神経症傾向,0,0.5,0.5,0,0.5
誠実性,新規性,0.5,0.5,0,0,0.5
誠実性,外交性,0,1,0,0,1
誠実性,協調性,0,0.5,0,0,0.5
誠実性,神経症傾向,0,0.5,0.5,0,0.5
外交性,新規性,0.5,0,0.5,0.5,0
外交性,誠実性,0,0,0.5,1,0
外交性,協調性,0,0,0.5,0.5,0
外交性,神経症傾向,0,0,1,0.5,0
協調性,新規性,0.5,0,0,0,0
協調性,誠実性,0,0,0,0.5,0
協調性,外交性,0,0.5,0,0,0.5
協調性,神経症傾向,0,0,0.5,0,0
神経症傾向,新規性,1,0,0,0.5,0
神経症傾向,誠実性,0.5,0,0,1,0
神経症傾向,外交性,0.5,0.5,0,0.5,0.5
神経症傾向,協調性,0.5,0,0,0.5,0